Christian Bale
Marlon Brando
Robert DiNiro
Tom Hanks
Dustin Hoffman
Phillip Seymour Hoffman
John Malkovich
Ewan McGregor
Jack Nicholson
Edward Norton
Sean Penn
Meryl Streep
Brad Pitt
Johnny Depp
Billy Crudup
George Clooney
Daniel Day Lewis
Leonardo DiCaprio
Orson Welles
Clint Eastwood
Matt Damon
Katherine Hepburn
Humphrey Bogart
Jimmy Stewart
Cary Grant
Robert Mitchum
Harrison Ford
Benicio Del Toro
Tommy Lee Jones
Viggo Mortenson
Javier Bardem
Ryan Gosling
Robert Downy Jr.
Tom Cruise
Sydney Poitier
Denzel Washington
Brian Cox
Mark Wahlberg
Martin Sheen
Michael Sheen
Paul Newman
Steve McQueen
Mickey Rourke
Angelina Jolie
Cate Blanchett
Bruce Willis
Frances McDormand
Ben Affleck
Russell Crowe
Colin Farrell
Will Farrell
Brendon Gleeson
Harvey Kietel
Samuel L. Jackson
Cary Grant
Diane Keaton
Al Pacino
Owen Wilson
Ben Stiller
Luke Wilson
Reese Witherspoon
Joaquin Phoenix
Kevin Bacon
Tim Robbins
Morgan Freeman
John Wayne
Henry Fonda
Jane Fonda
Jon Voight
