title|year|star_rating|tmdb_id
Terminator 2: Judgment Day|1991|****|280
Saving Private Ryan|1998|****|857
Raiders of the Lost Ark|1981|****|85
Fight Club|1999|****|550
The Dark Knight|2008|****|155
Die Hard|1988|****|562
Kill Bill Vol. 2|2004|***½|393
Mission: Impossible – Rogue Nation|2015|***½|177677
Body of Lies|2008|***½|12113
The Longest Day|1962|***½|9289
The Dark Knight Rises|2012|***½|49026
The Matrix Reloaded|2003|***½|604
Speed|1994|***½|1637
The Hunger Games: Catching Fire|2013|***½|101299
Iron Man|2008|***½|1726
Three Kings|1999|***½|6415
Equilibrium|2003|***½|7299
Predator|1987|***½|106
Sniper|1993|***|9545
True Lies|1994|***|36955
We Were Soldiers|2002|***|10590
Mission: Impossible - Ghost Protocol|2011|***|56292
Skyfall|2012|***|37724
Edge of Tomorrow|2014|***|137113
The Avengers|2012|***|24428
Ip Man|2008|***|14756
Lone Survivor|2013|***|193756
Snowpiercer|2013|***|110415
X-Men: Days of Future Past|2014|***|127585
Mad Max: Fury Road|2015|***|76341
Casino Royale|2006|***|36557
Quantum of Solace|2008|***|10764
Captain America: Civil War|2016|***|271110
The Accountant|2016|***|302946
Logan|2017|***|263115
Aliens|1986|***|679
Batman Begins|2005|***|272
The Bourne Identity|2002|***|2501
The Bourne Supremacy|2004|***|2502
The Bourne Ultimatum|2007|***|2503
Enemy of the State|1998|***|9798
Kill Bill Vol. 1|2003|***|24
Lethal Weapon|1987|***|941
The Matrix|1999|***|603
Mission: Impossible|1996|***|954
