title|year|star_rating|tmdb_id
The Great Dictator|1940|****|914
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|1964|****|935
Groundhog Day|1993|****|137
The Purple Rose of Cairo|1985|****|10849
The Big Lebowski|1998|****|115
Dumb and Dumber|1994|****|8467
This is Spinal Tap!|1984|****|11031
Annie Hall|1977|****|703
Ferris Bueller's Day Off|1986|****|9377
Napoleon Dynamite|2004|****|8193
The Princess Bride|1987|****|2493
The General|1926|****|961
Radio Days|1987|****|30890
Raising Arizona|1987|****|378
Ocean's Eleven|2001|****|161
A Christmas Story|1983|****|850
Get Shorty|1995|****|8012
Waiting for Guffman|1997|****|16448
School of Rock|2003|****|1584
Office Space|1999|***½|1542
What About Bob?|1991|***½|10276
There's Something About Mary|1998|***½|544
Dave|1993|***½|11566
Madagascar|2005|***½|953
The Freshman|1990|***½|10168
Scott Pilgrim vs. the World|2010|***½|22538
The Sandlot|1993|***½|11528
The Grand Budapest Hotel|2014|***½|120467
The Apartment|1960|***½|284
As Good as it Gets|1997|***½|2898
Sleeper|1973|***½|11561
The Castle|1999|***½|13852
I Heart Huckabees|2004|***½|1599
Take the Money and Run|1969|***½|11485
Midnight in Paris|2011|***½|59436
Vice Versa|1988|***½|26603
Waking Ned Devine|1998|***½|10162
The Heat|2013|***|136795
Alan Partridge|2013|***|177699
The Trip to Italy|2014|***|242088
Hot Fuzz|2007|***|4638
The World's End|2013|***|107985
Overboard|1987|***|10780
Austin Powers: International Man of Mystery|1997|***|816
Evil Alien Conquerors|2003|***|6884
Monty Python and the Holy Grail|1975|***|762
My Cousin Vinny|1992|***|10377
The Other Guys|2010|***|27581
Shaun of the Dead|2004|***|747
Team America: World Police|2004|***|3989
Wayne's World|1992|***|8872
