Top Ten Movies of 1997|Tyler Hayes|1997|Good Will Hunting|1
Top Ten Movies of 1997|Tyler Hayes|1997|The Apostle|2
Top Ten Movies of 1997|Tyler Hayes|1997|Waiting for Guffman|3
Top Ten Movies of 1997|Tyler Hayes|1997|As Good as it Gets|4
Top Ten Movies of 1997|Tyler Hayes|1997|L.A. Confidential|5
Top Ten Movies of 1997|Tyler Hayes|1997|In the Company of Men|6
Top Ten Movies of 1997|Tyler Hayes|1997|Wag the Dog|7
Top Ten Movies of 1997|Tyler Hayes|1997|Microcosmos|8
Top Ten Movies of 1997|Tyler Hayes|1997|Everyone Says I Love You|9
Top Ten Movies of 1997|Tyler Hayes|1997|Donnie Brasco|10
Top Ten Movies of 1998|Tyler Hayes|1998|Saving Private Ryan|1
Top Ten Movies of 1998|Tyler Hayes|1998|The Thin Red Line|2
Top Ten Movies of 1998|Tyler Hayes|1998|Rushmore|3
Top Ten Movies of 1998|Tyler Hayes|1998|Pi|4
Top Ten Movies of 1998|Tyler Hayes|1998|American History X|5
Top Ten Movies of 1998|Tyler Hayes|1998|The Big Lebowski|6
Top Ten Movies of 1998|Tyler Hayes|1998|The Truman Show|7
Top Ten Movies of 1998|Tyler Hayes|1998|Affliction|8
Top Ten Movies of 1998|Tyler Hayes|1998|Character|9
Top Ten Movies of 1998|Tyler Hayes|1998|A Bug's Life|10
Top Ten Movies of 1998|Tyler Hayes|1998|Buffalo '66|11
Top Ten Movies of 1998|Tyler Hayes|1998|Life is Beautiful|12
Top Ten Movies of 1998|Tyler Hayes|1998|42 Up|13
Top Ten Movies of 1998|Tyler Hayes|1998|Waking Ned Devine|14
Top Ten Movies of 1998|Tyler Hayes|1998|There's Something About Mary|15
Top Ten Movies of 1999|Tyler Hayes|1999|Magnolia|1
Top Ten Movies of 1999|Tyler Hayes|1999|Children of Heaven|2
Top Ten Movies of 1999|Tyler Hayes|1999|The Straight Story|3
Top Ten Movies of 1999|Tyler Hayes|1999|Princess Mononoke|4
Top Ten Movies of 1999|Tyler Hayes|1999|Fight Club|5
Top Ten Movies of 1999|Tyler Hayes|1999|Being John Malkovich|6
Top Ten Movies of 1999|Tyler Hayes|1999|The Blair Witch Project|7
Top Ten Movies of 1999|Tyler Hayes|1999|American Movie|8
Top Ten Movies of 1999|Tyler Hayes|1999|The Green Mile|9
Top Ten Movies of 1999|Tyler Hayes|1999|Eyes Wide Shut|10
Top Ten Movies of 1999|Tyler Hayes|1999|The Red Violin|11
Top Ten Movies of 1999|Tyler Hayes|1999|Run Lola Run|12
Top Ten Movies of 1999|Tyler Hayes|1999|The General|13
Top Ten Movies of 1999|Tyler Hayes|1999|Three Kings|14
Top Ten Movies of 1999|Tyler Hayes|1999|Sweet and Lowdown|15
Top Ten Movies of 2000|Tyler Hayes|2000|George Washington|1
Top Ten Movies of 2000|Tyler Hayes|2000|Requiem for a Dream|2
Top Ten Movies of 2000|Tyler Hayes|2000|Unbreakable|3
Top Ten Movies of 2000|Tyler Hayes|2000|The Color of Paradise|4
Top Ten Movies of 2000|Tyler Hayes|2000|American Psycho|5
Top Ten Movies of 2000|Tyler Hayes|2000|Traffic|6
Top Ten Movies of 2000|Tyler Hayes|2000|Paradise Lost 2: Revelations|7
Top Ten Movies of 2000|Tyler Hayes|2000|Almost Famous|8
Top Ten Movies of 2000|Tyler Hayes|2000|Boiler Room|9
Top Ten Movies of 2000|Tyler Hayes|2000|Wonder Boys|10
Top Ten Movies of 2000|Tyler Hayes|2000|Cast Away|11
Top Ten Movies of 2000|Tyler Hayes|2000|The Contender|12
Top Ten Movies of 2000|Tyler Hayes|2000|Fantasia 2000|13
Top Ten Movies of 2000|Tyler Hayes|2000|Crouching Tiger, Hidden Dragon|14
Top Ten Movies of 2000|Tyler Hayes|2000|Thirteen Days|15
Top Ten Movies of 2000|Tyler Hayes|2001|Memento|1
Top Ten Movies of 2001|Tyler Hayes|2001|Waking Life|2
Top Ten Movies of 2001|Tyler Hayes|2001|The Pledge|3
Top Ten Movies of 2001|Tyler Hayes|2001|Vanilla Sky|4
Top Ten Movies of 2001|Tyler Hayes|2001|In the Bedroom|5
Top Ten Movies of 2001|Tyler Hayes|2001|Monsters Inc.|6
Top Ten Movies of 2001|Tyler Hayes|2001|Gosford Park|7
Top Ten Movies of 2001|Tyler Hayes|2001|Startup.com|8
