TITLE,YEAR,HOW BAD? (1-10),AVAILABILITY,REASONS
Elstree 1976,2015,7,,Doc about side-roles/actors in Star Wars
Best of Enemies,2015,6,,Looks like a good doc (about Gore Vidal vs. Bill Buckley Jr)
Kurt Cobain: Montage of Heck,2015,7,,
Far From Men,2015,6,,"Looks good, Viggo Mortenson, French"
Jouja,2015,6,,"Looks good, Viggo Mortenson, Danish"
Red Army,2015,7,,Looks like a good doc about Russian hockey
The Seven Five,2014,7,,Looks like a good documentary about crooked Brooklyn cops
Her,2013,7,,"Nominated Best Picture, Spike Jonze film"
Before Midnight,2013,6,,"Newest in “Before...” series by Richard Linklater, Ethan Hawke, and Julie Delpy"
We Don't Want to Make You Dance,2013,6,,Documentary about a NYC band trying to make it big—comes back years later to see what they're up to like Up series
At Any Price,2012,4,,"Ebert's last **** review, Ramin Bahrani directed"
Amour,2012,5,,"Nominated best picture, director, actress, screenplay, won best foreign film"
56 Up,2012,10,Netflix instant,Part of the Up documentaries
In Darkness,2011,3,"library, Netflix dvd","nominated best foreign language film, Ebert **1/2"
Monsieur Lazhar,2011,6,"library, Netflix instant","nominated best foreign language film, Ebert ***1/2"
Conviction,2010,2,Netflix dvd,"looks good, Sam Rockwell, Ebert ***"
45365,2010,6,Netflix future,"interesting documentary, Ebert ****"
The Last Airbender,2010,2,"library, Netflix instant","directed by M. Night Shyamalan, Ebert 1/2*"
Another Year,2010,4,Netflix dvd,"directed by Mike Leigh, Ebert ****"
Made in Dagenham,2010,4,"library, Netflix dvd","looks good, Ebert ***1/2"
L'amour Fou,2010,1,"library, Netflix instant",fashion documentary
Dad's in Heaven with Nixon,2010,4,"Netflix instant, hulu.com, imdb.com",recommended documentary
The Damned United,2009,2,Netflix dvd,"looks good, Ebert ***1/2"
Me and Orson Welles,2009,6,"library, Netflix instant","directed by Richard Linklater, Ebert ****"
Vicky Cristina Barcelona,2008,7,"library, Netflix dvd","directed by Woody Allen, won best supporting actress, Richard Roeper top 25"
Che,2008,7,"library, Netflix instant","directed by Steven Soderbergh, performance by Benicio Del Toro, Ebert ***1/2, Richard Roeper top 25"
Milk,2008,6,"library, Netflix dvd","directed by Gus Van Zant, best actor Sean Penn, best screenplay winner, Ebert ****"
The Fall,2008,6,"library, Netflix instant","Ebert ****, Ebert top 20"
Black Irish,2007,5,Netflix dvd,"looks good, Brendon Gleeson"
Tsotsi,2006,4,"library, Netflix dvd","won best foreign language film, Ebert ****"
Happy Feet,2006,2,"library, Netflix dvd",won best animated feature
Dreamgirls,2006,5,"library, Netflix dvd","won best supporting actress, nominated best supporting actor Eddie Murphy"
An Inconvenient Truth,2006,7,"library, Netflix instant","won best documentary, Ebert ****"
Days of Glory,2006,5,Netflix dvd,"nominated best foreign language film, war film, Ebert ***1/2"
Who Killed the Electric Car?,2006,2,"library, Netflix dvd","looks good, documentary"
L'Enfant (The Child),2006,5,"library, Netflix dvd","same director as 'The Son', Ebert ****"
The Proposition,2006,5,Netflix dvd,"western with Guy Pearce and Ray Winstone, Ebert ****"
The Willow Tree,2005,5,"library, Netflix dvd",directed by Majid Majidi
Nobody Knows,2005,5,"library, Netflix instant","looks good, Japan, Ebert ***1/2"
Kingdom of Heaven,2005,5,"library, Netflix dvd","directed by Ridley Scott, Ebert ***1/2"
Turtles Can Fly,2005,4,"library, Netflix instant","looks good, foreign film, Ebert ****"
Tell Them Who You Are,2005,5,Netflix dvd,"documentary on cinematographer Haskell Wexler, Ebert ***1/2"
The Sea Inside,2004,4,"library, Netflix dvd","nominated best actor Javier Bardem, Ebert ***"
