Year,Category,Nominee,Additional Info,Won?
1927/28,ACTOR,Emil Jannings,"The Last Command {General Dolgorucki [Grand Duke Sergius Alexander]""}; and The Way of All Flesh {""August Schilling""}""",YES
1927/28,ACTOR,Richard Barthelmess,"The Noose {Nickie Elkins""}; and The Patent Leather Kid {""The Patent Leather Kid""}""",NO
1927/28,ACTRESS,Louise Dresser,"A Ship Comes In {Mrs. Pleznik""}""",NO
1927/28,ACTRESS,Janet Gaynor,"7th Heaven {Diane""}; Street Angel {""Angela""}; and Sunrise {""The Wife""}""",YES
1927/28,ACTRESS,Gloria Swanson,"Sadie Thompson {Sadie Thompson""}""",NO
1927/28,ART DIRECTION,William Cameron Menzies,The Dove; and Tempest,YES
1927/28,ART DIRECTION,Rochus Gliese,Sunrise,NO
1927/28,ART DIRECTION,Harry Oliver,7th Heaven,NO
1927/28,CINEMATOGRAPHY,Charles Rosher,Sunrise,YES
1927/28,CINEMATOGRAPHY,Karl Struss,Sunrise,YES
1927/28,CINEMATOGRAPHY,George Barnes,The Devil Dancer; The Magic Flame; and Sadie Thompson,NO
1927/28,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,YES
1927/28,DIRECTING (Comedy Picture),Ted Wilde,Speedy,NO
1927/28,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,NO
1927/28,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,YES
1927/28,DIRECTING (Dramatic Picture),King Vidor,The Crowd,NO
1927/28,ENGINEERING EFFECTS,Roy Pomeroy,Wings,YES
1927/28,ENGINEERING EFFECTS,Nugent Slaughter,,NO
1927/28,ENGINEERING EFFECTS,Ralph Hammeras,,NO
1927/28,OUTSTANDING PICTURE,The Racket,The Caddo Company,NO
1927/28,OUTSTANDING PICTURE,Wings,Paramount Famous Lasky,YES
1927/28,OUTSTANDING PICTURE,7th Heaven,Fox,NO
1927/28,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,NO
1927/28,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,NO
1927/28,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,YES
1927/28,WRITING (Adaptation),Benjamin Glazer,7th Heaven,YES
1927/28,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,NO
1927/28,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,NO
1927/28,WRITING (Original Story),Lajos Biro,The Last Command,NO
