"Tyler's Top Ten Movies of 1997",1997,"Good Will Hunting",1
"Tyler's Top Ten Movies of 1997",1997,"The Apostle",2
"Tyler's Top Ten Movies of 1997",1997,"Waiting for Guffman",3
"Tyler's Top Ten Movies of 1997",1997,"As Good as it Gets",4
"Tyler's Top Ten Movies of 1997",1997,"L.A. Confidential",5
"Tyler's Top Ten Movies of 1997",1997,"In the Company of Men",6
"Tyler's Top Ten Movies of 1997",1997,"Microcosmos",7
"Tyler's Top Ten Movies of 1997",1997,"When We Were Kings",8
"Tyler's Top Ten Movies of 1997",1997,"Everyone Says I Love You",9
"Tyler's Top Ten Movies of 1997",1997,"Donnie Brasco",10
"Tyler's Top Ten Movies of 1998",1998,"Saving Private Ryan",1
"Tyler's Top Ten Movies of 1998",1998,"The Thin Red Line",2
"Tyler's Top Ten Movies of 1998",1998,"Rushmore",3
"Tyler's Top Ten Movies of 1998",1998,"Pi",4
"Tyler's Top Ten Movies of 1998",1998,"American History X",5
"Tyler's Top Ten Movies of 1998",1998,"The Big Lebowski",6
"Tyler's Top Ten Movies of 1998",1998,"The Truman Show",7
"Tyler's Top Ten Movies of 1998",1998,"Affliction",8
"Tyler's Top Ten Movies of 1998",1998,"Character",9
"Tyler's Top Ten Movies of 1998",1998,"A Bug's Life",10
"Tyler's Top Ten Movies of 1998",1998,"Buffalo '66",11
"Tyler's Top Ten Movies of 1998",1998,"Wag the Dog",12
"Tyler's Top Ten Movies of 1998",1998,"Life is Beautiful",13
"Tyler's Top Ten Movies of 1998",1998,"Waking Ned Devine",14
"Tyler's Top Ten Movies of 1998",1998,"There's Something About Mary",15
"Tyler's Top Ten Movies of 1999",1999,"Magnolia",1
"Tyler's Top Ten Movies of 1999",1999,"Children of Heaven",2
"Tyler's Top Ten Movies of 1999",1999,"The Straight Story",3
"Tyler's Top Ten Movies of 1999",1999,"Princess Mononoke",4
"Tyler's Top Ten Movies of 1999",1999,"Fight Club",5
"Tyler's Top Ten Movies of 1999",1999,"Being John Malkovich",6
"Tyler's Top Ten Movies of 1999",1999,"The Blair Witch Project",7
"Tyler's Top Ten Movies of 1999",1999,"American Movie",8
"Tyler's Top Ten Movies of 1999",1999,"The Green Mile",9
"Tyler's Top Ten Movies of 1999",1999,"Eyes Wide Shut",10
"Tyler's Top Ten Movies of 1999",1999,"The Red Violin",11
"Tyler's Top Ten Movies of 1999",1999,"Run Lola Run",12
"Tyler's Top Ten Movies of 1999",1999,"The General",13
"Tyler's Top Ten Movies of 1999",1999,"Three Kings",14
"Tyler's Top Ten Movies of 1999",1999,"Sweet and Lowdown",15
"Tyler's Top Ten Movies of 2000",2000,"George Washington",1
"Tyler's Top Ten Movies of 2000",2000,"Requiem for a Dream",2
"Tyler's Top Ten Movies of 2000",2000,"Unbreakable",3
"Tyler's Top Ten Movies of 2000",2000,"The Color of Paradise",4
"Tyler's Top Ten Movies of 2000",2000,"American Psycho",5
"Tyler's Top Ten Movies of 2000",2000,"Traffic",6
