2003,Top Ten,Elephant,,1,
2003,Top Ten,The Lord of the Rings: The Return of the King,,2,
2003,Top Ten,School of Rock,,3,
2003,Top Ten,Mystic River,,4,
2003,Top Ten,American Splendor,,5,
2003,Top Ten,Finding Nemo,,6,
2003,Top Ten,Capturing the Friedmans,,7,
2003,Top Ten,Spellbound,,8,
2003,Top Ten,All the Real Girls,,9,
2003,Top Ten,Zero Day,,10,
2003,Top Ten,28 Days Later,,11,
2003,Top Ten,Master and Commander: The Far Side of the World,,12,
2003,Top Ten,The Station Agent,,13,
2003,Top Ten,Whale Rider,,14,
2003,Top Ten,The Triplets of Belleville,,15,
2003,Best Picture,American Splendor,,0,
2003,Best Picture,Elephant,,1,
2003,Best Picture,The Lord of the Rings: The Return of the King,,0,
2003,Best Picture,Mystic River,,0,
2003,Best Picture,School of Rock,,0,
2003,Best Actor,School of Rock,Jack Black,0,
2003,Best Actor,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,0,
2003,Best Actor,American Splendor,Paul Giamatti,1,
2003,Best Actor,House of Sand and Fog,Ben Kingsley,0,
2003,Best Actor,Owning Mahoney,Phillip Seymour Hoffman,0,
2003,Best Actor,Mystic River,Sean Penn,0,
2003,Best Actress,Irreversible,Monica Bellucci,0,
2003,Best Actress,Whale Rider,Keisha Castle-Hughes,0,
2003,Best Actress,House of Sand and Fog,Jennifer Connelley,0,
2003,Best Actress,Girl with a Pearl Earring|Lost in Translation,Scarlett Johansson,0,
2003,Best Actress,Monster,Charlize Theron,1,
2003,Best Actress,21 Grams,Naomi Watts,0,
2003,Best Supporting Actor,Master and Commander: The Far Side of the World,Paul Bettany,0,
2003,Best Supporting Actor,21 Grams,Benicio Del Toro,1,
2003,Best Supporting Actor,American Splendor,Judah Freidlander,0,
2003,Best Supporting Actor,Cold Mountain,Phillip Seymour Hoffman,0,
2003,Best Supporting Actor,The Company,Malcolm McDowell,0,
2003,Best Supporting Actor,Mystic River,Tim Robbins,0,
2003,Best Supporting Actress,The Station Agent,Patricia Clarkson,0,
2003,Best Supporting Actress,School of Rock,Joan Cusack,0,
2003,Best Supporting Actress,American Splendor,Hope Davis,0,
2003,Best Supporting Actress,Spider,Miranda Richardson,0,
2003,Best Supporting Actress,The Magdalene Sisters,Eileen Walsh,0,
2003,Best Supporting Actress,Cold Mountain,Renee Zelwegger,1,
2003,Best Director,American Splendor,Shari Springer Bergman|Robert Pulcini,0,
2003,Best Director,Mystic River,Clint Eastwood,0,
2003,Best Director,The Lord of the Rings: The Return of the King,Peter Jackson,1,
2003,Best Director,Capturing the Freidmans,Andrew Jarecki,0,
2003,Best Director,Elephant,Gus Van Sant,0,
2003,Best Cinematography,Equilibrium,Dion Beebe,0,
2003,Best Cinematography,Irreversible,Benoit Debie|Gaspar Noe,0,
2003,Best Cinematography,The Lord of the Rings: The Return of the King,Andrew Lesnie,1,
2003,Best Cinematography,Northfork,M. David Mullen,0,
2003,Best Cinematography,Open Range,James Muro,0,
