100 Greatest Movies (2005)|Tyler Hayes|1994|The Shawshank Redemption|1
100 Greatest Movies (2005)|Tyler Hayes|1941|Citizen Kane|2
100 Greatest Movies (2005)|Tyler Hayes|1972|The Godfather|3
100 Greatest Movies (2005)|Tyler Hayes|1974|The Godfather Part II|3
100 Greatest Movies (2005)|Tyler Hayes|1977|The Star Wars Trilogy|4
100 Greatest Movies (2005)|Tyler Hayes|1998|Saving Private Ryan|5
100 Greatest Movies (2005)|Tyler Hayes|1971|A CLockwork Orange|6
100 Greatest Movies (2005)|Tyler Hayes|1976|Taxi Driver|7
100 Greatest Movies (2005)|Tyler Hayes|1960|Psycho|8
100 Greatest Movies (2005)|Tyler Hayes|1993|Schindler's List|9
100 Greatest Movies (2005)|Tyler Hayes|1968|2001: A Space Odyssey|10
100 Greatest Movies (2005)|Tyler Hayes|1977|Close Encounters of the Third Kind|11
100 Greatest Movies (2005)|Tyler Hayes|1994|Pulp Fiction|12
100 Greatest Movies (2005)|Tyler Hayes|1975|One Flew Over the Cuckoo's Nest|13
100 Greatest Movies (2005)|Tyler Hayes|1964|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|14
100 Greatest Movies (2005)|Tyler Hayes|1977|Annie Hall|15
100 Greatest Movies (2005)|Tyler Hayes|1979|Apocalypse Now|16
100 Greatest Movies (2005)|Tyler Hayes|1931|City Lights|17
100 Greatest Movies (2005)|Tyler Hayes|1928|The Circus|17
100 Greatest Movies (2005)|Tyler Hayes|1940|The Great Dictator|17
100 Greatest Movies (2005)|Tyler Hayes|1936|Modern Times|17
100 Greatest Movies (2005)|Tyler Hayes|1954|On the Waterfront|18
100 Greatest Movies (2005)|Tyler Hayes|1940|Fantasia|19
100 Greatest Movies (2005)|Tyler Hayes|1963|The Up Documentaries|20
100 Greatest Movies (2005)|Tyler Hayes|1982|E.T. the Extra-Terrestrial|21
100 Greatest Movies (2005)|Tyler Hayes|1974|Chinatown|22
100 Greatest Movies (2005)|Tyler Hayes|1959|The 400 Blows|23
100 Greatest Movies (2005)|Tyler Hayes|1973|American Graffiti|24
100 Greatest Movies (2005)|Tyler Hayes|1926|The General|25
100 Greatest Movies (2005)|Tyler Hayes|1924|Sherlock Jr.|25
100 Greatest Movies (2005)|Tyler Hayes|1924|The Navigator|25
100 Greatest Movies (2005)|Tyler Hayes|1925|Seven Chances|25
100 Greatest Movies (2005)|Tyler Hayes|1999|Magnolia|26
100 Greatest Movies (2005)|Tyler Hayes|1964|A Hard Day's Night|27
100 Greatest Movies (2005)|Tyler Hayes|1957|The Bridge on the River Kwai|28
100 Greatest Movies (2005)|Tyler Hayes|1984|Amadeus|29
100 Greatest Movies (2005)|Tyler Hayes|1975|Jaws|30
100 Greatest Movies (2005)|Tyler Hayes|1950|All About Eve|31
100 Greatest Movies (2005)|Tyler Hayes|1962|Lawrence of Arabia|32
100 Greatest Movies (2005)|Tyler Hayes|1950|A Streetcar Named Desire|33
100 Greatest Movies (2005)|Tyler Hayes|1963|8½|34
100 Greatest Movies (2005)|Tyler Hayes|1998|The Thin Red Line|35
100 Greatest Movies (2005)|Tyler Hayes|1957|Nights of Cabiria|36
100 Greatest Movies (2005)|Tyler Hayes|1946|It's a Wonderful Life|37
