YEAR,CATEGORY,TITLE,NOMINEES,STATUS OR POSITION,SCENE NAME
9999,Top Ten,`,,1,
9999,Top Ten,`,,2,
9999,Top Ten,`,,3,
9999,Top Ten,`,,4,
9999,Top Ten,`,,5,
9999,Top Ten,`,,6,
9999,Top Ten,`,,7,
9999,Top Ten,`,,8,
9999,Top Ten,`,,9,
9999,Top Ten,`,,10,
9999,Top Ten,`,,10,
9999,Top Ten,`,,12,
9999,Top Ten,`,,13,
9999,Top Ten,`,,14,
9999,Top Ten,`,,15,
9999,Best Picture,`,,0,
9999,Best Picture,`,,0,
9999,Best Picture,`,,0,
9999,Best Picture,`,,0,
9999,Best Picture,`,,0,
9999,Best Actor,`,`,0,
9999,Best Actor,`,`,0,
9999,Best Actor,`,`,0,
9999,Best Actor,`,`,0,
9999,Best Actor,`,`,0,
9999,Best Actor,`,`,0,
9999,Best Actress,`,`,0,
9999,Best Actress,`,`,0,
9999,Best Actress,`,`,0,
9999,Best Actress,`,`,0,
9999,Best Actress,`,`,0,
9999,Best Actress,`,`,0,
9999,Best Supporting Actor,`,`,0,
9999,Best Supporting Actor,`,`,0,
9999,Best Supporting Actor,`,`,0,
9999,Best Supporting Actor,`,`,0,
9999,Best Supporting Actor,`,`,0,
9999,Best Supporting Actor,`,`,0,
9999,Best Supporting Actress,`,`,0,
9999,Best Supporting Actress,`,`,0,
9999,Best Supporting Actress,`,`,0,
9999,Best Supporting Actress,`,`,0,
9999,Best Supporting Actress,`,`,0,
9999,Best Supporting Actress,`,`,0,
9999,Best Director,`,`,0,
9999,Best Director,`,`,0,
9999,Best Director,`,`,Peter Jackson,0,
9999,Best Director,`,`,0,
9999,Best Director,`,`,0,
9999,Best Cinematography,`,`,0,
9999,Best Cinematography,`,`,0,
9999,Best Cinematography,`,`,0,
9999,Best Cinematography,`,`,0,
9999,Best Cinematography,`,`,0,
9999,Best Cinematography,`,`,0,
9999,Best Original Screenplay,`,`,0,
9999,Best Original Screenplay,`,`,0,
9999,Best Original Screenplay,`,`,0,
9999,Best Original Screenplay,`,`,0,
9999,Best Original Screenplay,`,`,0,
9999,Best Original Screenplay,`,`,0,
9999,Best Adapted Screenplay,`,`,0,
9999,Best Adapted Screenplay,`,`,0,
9999,Best Adapted Screenplay,`,`,0,
9999,Best Adapted Screenplay,`,`,0,
9999,Best Adapted Screenplay,`,`,0,
9999,Best Animated Feature,`,,0,
9999,Best Animated Feature,`,,0,
9999,Best Animated Feature,`,,0,
9999,Best Animated Feature,`,,0,
9999,Best Animated Feature,`,,0,
9999,Best Documentary,`,,0,
9999,Best Documentary,`,,0,
9999,Best Documentary,`,,0,
9999,Best Documentary,`,,0,
9999,Best Foreign Language Film,`,,0,
9999,Best Foreign Language Film,`,,0,
9999,Best Foreign Language Film,`,,0,
9999,Best Foreign Language Film,`,,0,
9999,Worst Picture,`,,0,
9999,Worst Picture,`,,0,
9999,Worst Picture,`,,0,
9999,Worst Picture,`,,0,
9999,Worst Picture,`,,0,
9999,Worst Picture,`,,0,
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`o,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
9999,Best Scene,`,,0,`
