Christian Bale,"Mio in the Land of Faraway",1987,
Christian Bale,"Empire of the Sun",1987,
Christian Bale,"Henry V",1989,England
Christian Bale,"Newsies",1992,
Christian Bale,"Swing Kids",1993,
Christian Bale,"Royal Deceit",1994,
Christian Bale,"Little Women",1994,
Christian Bale,"The Secret Agent",1996,England
Christian Bale,"The Portrait of a Lady",1996,
Christian Bale,"Metroland",1997,
Christian Bale,"Velvet Goldmine",1998,
Christian Bale,"All the Little Animals",1998,England
Christian Bale,"A Midsummer Night's Dream",1999,
Christian Bale,"American Psycho",2000,
Christian Bale,"Shaft",2000,
Christian Bale,"Captain Correlli's Mandolin",2001,
Christian Bale,"Equilibrium",2002,
Christian Bale,"Reign of Fire",2002,
Christian Bale,"Laurel Canyon",2003,
Christian Bale,"The Machinist",2004,
Christian Bale,"Batman Begins",2005,
Christian Bale,"The New World",2005,
Christian Bale,"Harsh Times",2005,
Christian Bale,"The Prestige",2006,
Christian Bale,"Rescue Dawn",2007,
Christian Bale,"3:10 to Yuma",2007,
Christian Bale,"I'm Not There",2007,
Christian Bale,"The Dark Knight",2008,
Christian Bale,"Terminator Salvation",2009,
Christian Bale,"Public Enemies",2009,
Christian Bale,"The Fighter ",2010,
Christian Bale,"The Flowers of War",2011,China
Christian Bale,"The Dark Knight Rises",2012,USA
Marlon Brando,"The Men",1950,
Marlon Brando,"A Streetcar Named Desire",1951,
Marlon Brando,"Viva Zapatal",1952,
Marlon Brando,"Julius Caesar",1953,
Marlon Brando,"The Wild One",1954,
Marlon Brando,"On the Waterfront",1954,
Marlon Brando,"Desiree",1954,
Marlon Brando,"Guys and Dolls",1955,
Marlon Brando,"The Teahouse of the August Moon",1956,
Marlon Brando,"Sayonara",1957,
Marlon Brando,"The Young Lions",1958,
Marlon Brando,"The Fugitive Kind",1959,
Marlon Brando,"One-Eyed Jacks",1961,
Marlon Brando,"Mutiny on the Bounty",1962,
Marlon Brando,"The Ugly American",1963,
Marlon Brando,"Bedtime Story",1964,
Marlon Brando,"Morituri",1965,
Marlon Brando,"The Chase",1966,
Marlon Brando,"The Appaloosa",1966,
Marlon Brando,"A Countess From Hong Kong",1967,
Marlon Brando,"Reflections in a Golden Eye",1967,
Marlon Brando,"Candy",1969,
Marlon Brando,"The Night of the Following Day",1968,
Marlon Brando,"Burn!",1969,
Marlon Brando,"The Godfather",1972,
Marlon Brando,"The Nightcomers",1972,
Marlon Brando,"Last Tango in Paris",1973,
Marlon Brando,"The Missouri Breaks",1976,
Marlon Brando,"Superman",1978,
Marlon Brando,"Apocalypse Now",1979,
Marlon Brando,"The Formula",1980,
Marlon Brando,"A Dry White Season",1989,
Marlon Brando,"The Freshmen",1990,
Marlon Brando,"Christopher Columbus: The Discovery",1992,
Marlon Brando,"Don Juan DeMarco",1995,
Marlon Brando,"The Island of Dr. Moreau",1996,
Marlon Brando,"The Brave",1997,
Marlon Brando,"Free Money",1998,
Marlon Brando,"The Score",2001,
Robert De Niro,"Greetings",1968,
Robert De Niro,"The Wedding Party",1969,
Robert De Niro,"Sam's Song",1969,
Robert De Niro,"Bloody Mama",1970,
Robert De Niro,"Hi Mom!",1970,
Robert De Niro,"Jennifer on My Mind",1971,
Robert De Niro,"The Gang That Couldn't Shoot Straight",1971,
Robert De Niro,"Born to Win",1971,
Robert De Niro,"Mean Streets",1973,
Robert De Niro,"Bang the Drum Slowly",1973,
Robert De Niro,"The Godfather Part II",1974,
Robert De Niro,"The Last Tycoon",1976,
Robert De Niro,"Taxi Driver",1976,
Robert De Niro,"1900",1976,
Robert De Niro,"New York, New York",1977,
Robert De Niro,"The Deer Hunter",1978,
Robert De Niro,"Raging Bull",1980,
Robert De Niro,"True Confessions",1981,
Robert De Niro,"The King of Comedy",1983,
Robert De Niro,"Once Upon a Time in America",1984,
Robert De Niro,"Falling in Love",1984,
Robert De Niro,"Brazil",1985,
Robert De Niro,"The Mission",1986,
Robert De Niro,"Angel Heart",1987,
Robert De Niro,"The Untouchables",1987,
Robert De Niro,"Midnight Run",1988,
Robert De Niro,"Jacknife",1989,
Robert De Niro,"We're No Angels",1989,
