Christian Bale
Marlon Brando
Robert De Niro
Tom Hanks
Dustin Hoffman
Philip Seymour Hoffman
John Malkovich
Ewan McGregor
Jack Nicholson
Edward Norton
Sean Penn
Meryl Streep
Brad Pitt
Johnny Depp
Billy Crudup
George Clooney
Daniel Day-Lewis
Leonardo DiCaprio
Orson Welles
Matt Damon
Katharine Hepburn
Humphrey Bogart
Jimmy Stewart
Cary Grant
Robert Mitchum
Harrison Ford
Benicio Del Toro
Tommy Lee Jones
Viggo Mortenson
Javier Bardem
Ryan Gosling
Robert Downey Jr.
Tom Cruise
Sidney Poitier
Denzel Washington
Brian Cox
Mark Wahlberg
Martin Sheen
Charlie Sheen
Michael Sheen
Paul Newman
Steve McQueen
Mickey Rourke
Angelina Jolie
Cate Blanchett
Bruce Willis
Frances McDormand
Ben Affleck
Russell Crowe
Colin Farrell
Will Farrell
Brendon Gleeson
Harvey Keitel
Samuel L. Jackson
Diane Keaton
Al Pacino
Owen Wilson
Ben Stiller
Luke Wilson
Reese Witherspoon
Joaquin Phoenix
Kevin Bacon
Tim Robbins
Morgan Freeman
John Wayne
Henry Fonda
Jane Fonda
Jon Voight
Julia Roberts
Heath Ledger
Jeff Bridges
Gary Oldman
Jim Carrey
Peter Sellers
George C. Scott
Robert Redford
Peter Lorre
Kirk Douglas
Michael Douglas
Danny De Vito
Christopher Lloyd
Michael J. Fox
Joel David Moore
Arnold Schwarzenegger
Danny Glover
Mel Gibson
Jeff Goldblum
Bill Murray
Naomi Watts
Kate Winslet
Penelope Cruz
Phillip Baker Hall
John C. Reilly
Emma Thompson
Will Smith
Robert Duvall
Jim Caviezel
Anthony Hopkins
Jodie Foster
Faye Dunaway
Natalie Portman
Jude Law
Joe Pesci
Ray Liotta
Ray Winstone
Gwyneth Paltrow
Woody Harrelson
Paul Giamatti
Catherine Zeta-Jones
Aaron Eckhart
Renee Zellweger
Audrey Hepburn
Bette Davis
Peter Fonda
Gene Hackman
Dennis Hopper
James Dean
Spencer Tracy
Laurence Olivier
Peter O'Toole
Alec Guinness
James Earl Jones
Alan Rickman
Helena Bonham Carter
Giovanni Ribisi
Laurence Fishburne
Vince Vaughn
Matthew Modine
Michael Keaton
Vincent D'Onofrio
Guy Pierce
Sean Bean
Sean Astin
Josh Brolin
Elijah Wood
Brendon Fraser
Ian McKellen
Marion Cotillard
Anjelica Huston
Annette Bening
Warren Beatty
Liam Neeson
Ben Kingsley
Jared Leto
Ellen Burstyn
Don Cheadle
Matt Dillon
Joan Cusack
John Cusack
Jack Black
John Goodman
John Turturro
Catherine Keener
Shia LaBeouf
Cameron Diaz
Robin Wright-Penn
Cary Elwes
Michael McKean
Harry Shearer
Christopher Guest
Liev Schreiber
River Phoenix
Richard Dreyfuss
Nick Nolte
Michael Caine
Keanu Reeves
Anne Hathaway
Amy Adams
Anne Bancroft
Dan Akroyd
Nicole Kidman
